項目,公立大學及獨立學院,私立大學及獨立學院,公立專科學校,私立專科學校
中文圖書收藏冊數(冊)-總類,"2,628,030","1,849,104","8,754","29,088"
中文圖書收藏冊數(冊)-哲學類,"1,051,868","1,644,401","14,654","89,275"
中文圖書收藏冊數(冊)-宗教類,"495,885","793,426","4,098","32,883"
中文圖書收藏冊數(冊)-科學類,"1,288,757","2,264,148","14,908","86,338"
中文圖書收藏冊數(冊)-應用科學類,"2,646,031","5,251,965","49,312","277,519"
中文圖書收藏冊數(冊)-社會科學類,"4,196,018","4,781,169","26,069","153,879"
中文圖書收藏冊數(冊)-史地類,"2,318,875","2,315,095","16,827","79,750"
中文圖書收藏冊數(冊)-語言文學類,"3,766,764","5,367,944","41,388","274,231"
中文圖書收藏冊數(冊)-藝術類,"1,379,064","1,967,475","12,822","62,709"
外文圖書收藏冊數(冊),"8,571,090","7,212,203","10,447","145,457"
電子書(種),"38,938,602","53,377,290","21,279","462,019"
圖書閱覽座位數(個),"52,650","73,101",475,"3,840"
圖書借閱人次(人次),"1,134,885","1,224,818","3,456","45,206"
圖書借閱冊數(冊),"4,037,142","3,105,503","8,594","121,379"
線上及光碟資料庫檢索人次(人次),"90,170,361","61,709,735","230,835","3,738,496"
