Name,Students
國立政治大學,949
國立政治大學,"9,632"
國立政治大學,"1,766"
國立清華大學,"1,615"
國立清華大學,"5,358"
國立清華大學,"8,625"
國立清華大學,3
國立清華大學,"1,316"
國立臺灣大學,"3,545"
國立臺灣大學,"10,551"
國立臺灣大學,"16,756"
國立臺灣大學,"1,675"
國立臺灣師範大學,"1,363"
國立臺灣師範大學,"4,255"
國立臺灣師範大學,"8,173"
國立臺灣師範大學,"2,129"
國立成功大學,"1,818"
國立成功大學,"7,015"
國立成功大學,"11,441"
國立成功大學,"1,499"
國立中興大學,935
國立中興大學,"3,453"
國立中興大學,"7,990"
國立中興大學,"1,663"
國立中興大學,933
國立交通大學,"1,722"
國立交通大學,"5,955"
國立交通大學,"5,905"
國立交通大學,"1,600"
國立中央大學,"1,031"
國立中央大學,"3,516"
國立中央大學,"6,016"
國立中央大學,"1,375"
國立中山大學,811
國立中山大學,"2,997"
國立中山大學,"4,793"
國立中山大學,"1,105"
國立臺灣海洋大學,333
國立臺灣海洋大學,"1,445"
國立臺灣海洋大學,"5,929"
國立臺灣海洋大學,595
國立臺灣海洋大學,45
國立臺灣海洋大學,558
國立中正大學,574
國立中正大學,"2,831"
國立中正大學,"6,311"
國立中正大學,"1,412"
國立高雄師範大學,463
國立高雄師範大學,"1,409"
國立高雄師範大學,"3,659"
國立高雄師範大學,"1,314"
國立彰化師範大學,495
國立彰化師範大學,"1,648"
國立彰化師範大學,"4,898"
國立彰化師範大學,"1,412"
國立陽明大學,907
國立陽明大學,"1,364"
國立陽明大學,"2,108"
國立陽明大學,155
國立臺北大學,210
國立臺北大學,"1,393"
國立臺北大學,"5,812"
國立臺北大學,583
國立臺北大學,"2,082"
國立嘉義大學,197
國立嘉義大學,"1,292"
國立嘉義大學,"7,374"
國立嘉義大學,886
國立嘉義大學,"1,940"
國立高雄大學,32
國立高雄大學,646
國立高雄大學,"4,388"
國立高雄大學,515
國立高雄大學,160
國立東華大學,420
國立東華大學,"1,379"
國立東華大學,"7,660"
國立東華大學,549
國立暨南國際大學,323
國立暨南國際大學,789
國立暨南國際大學,"4,442"
國立暨南國際大學,462
國立臺灣科技大學,"1,033"
國立臺灣科技大學,"3,600"
國立臺灣科技大學,"5,611"
國立臺灣科技大學,115
國立臺灣科技大學,812
國立雲林科技大學,432
國立雲林科技大學,"1,930"
國立雲林科技大學,"6,253"
國立雲林科技大學,207
國立雲林科技大學,807
國立雲林科技大學,179
國立屏東科技大學,246
國立屏東科技大學,"1,086"
國立屏東科技大學,"7,701"
國立屏東科技大學,3
國立屏東科技大學,288
國立屏東科技大學,"1,494"
國立臺北科技大學,740
國立臺北科技大學,"3,081"
國立臺北科技大學,"6,273"
國立臺北科技大學,93
國立臺北科技大學,96
國立臺北科技大學,"1,622"
國立臺北科技大學,"1,891"
國立臺北科技大學,41
國立臺北藝術大學,112
國立臺北藝術大學,"1,004"
國立臺北藝術大學,"1,727"
國立臺北藝術大學,40
國立臺北藝術大學,82
國立臺北藝術大學,179
國立臺灣藝術大學,134
國立臺灣藝術大學,718
國立臺灣藝術大學,"2,365"
國立臺灣藝術大學,380
國立臺灣藝術大學,383
國立臺灣藝術大學,"1,565"
國立臺東大學,48
國立臺東大學,360
國立臺東大學,"3,598"
國立臺東大學,575
國立臺東大學,76
國立臺東大學,282
國立宜蘭大學,12
國立宜蘭大學,469
國立宜蘭大學,"4,373"
國立宜蘭大學,216
國立宜蘭大學,406
國立聯合大學,17
國立聯合大學,405
國立聯合大學,"5,965"
國立聯合大學,38
國立聯合大學,"1,134"
國立虎尾科技大學,48
國立虎尾科技大學,800
國立虎尾科技大學,"7,333"
國立虎尾科技大學,206
國立虎尾科技大學,56
國立虎尾科技大學,174
國立虎尾科技大學,191
國立虎尾科技大學,"2,065"
國立虎尾科技大學,165
國立臺南藝術大學,52
國立臺南藝術大學,539
國立臺南藝術大學,781
國立臺南藝術大學,170
國立臺南藝術大學,57
國立臺南大學,163
國立臺南大學,915
國立臺南大學,"3,885"
國立臺南大學,657
國立臺南大學,153
國立臺北教育大學,153
國立臺北教育大學,"1,362"
國立臺北教育大學,"3,349"
國立臺北教育大學,"1,021"
國立臺中教育大學,112
國立臺中教育大學,831
國立臺中教育大學,"3,196"
國立臺中教育大學,763
國立澎湖科技大學,74
國立澎湖科技大學,"2,599"
國立澎湖科技大學,34
國立澎湖科技大學,39
國立澎湖科技大學,301
國立勤益科技大學,34
國立勤益科技大學,584
國立勤益科技大學,"6,631"
國立勤益科技大學,93
國立勤益科技大學,284
國立勤益科技大學,"3,605"
國立勤益科技大學,424
國立勤益科技大學,479
國立體育大學,158
國立體育大學,341
國立體育大學,"1,772"
國立體育大學,223
國立體育大學,92
國立臺北護理健康大學,74
國立臺北護理健康大學,574
國立臺北護理健康大學,"2,837"
國立臺北護理健康大學,936
國立臺北護理健康大學,194
國立臺北護理健康大學,723
國立高雄餐旅大學,35
國立高雄餐旅大學,168
國立高雄餐旅大學,"3,055"
國立高雄餐旅大學,85
國立高雄餐旅大學,249
國立高雄餐旅大學,37
國立高雄餐旅大學,"1,077"
國立高雄餐旅大學,222
國立高雄餐旅大學,1
國立金門大學,209
國立金門大學,"2,977"
國立金門大學,103
國立金門大學,842
國立臺灣體育運動大學,7
國立臺灣體育運動大學,261
國立臺灣體育運動大學,"2,362"
國立臺灣體育運動大學,112
國立臺灣體育運動大學,380
國立臺中科技大學,417
國立臺中科技大學,"5,355"
國立臺中科技大學,"1,384"
國立臺中科技大學,"3,473"
國立臺中科技大學,221
國立臺中科技大學,"2,178"
國立臺中科技大學,"1,778"
國立臺中科技大學,"1,285"
國立臺北商業大學,6
國立臺北商業大學,281
國立臺北商業大學,"2,472"
國立臺北商業大學,683
國立臺北商業大學,"1,752"
國立臺北商業大學,53
國立臺北商業大學,826
國立臺北商業大學,821
國立臺北商業大學,738
國立屏東大學,44
國立屏東大學,840
國立屏東大學,"6,655"
國立屏東大學,688
國立屏東大學,800
國立高雄科技大學,563
國立高雄科技大學,"2,379"
國立高雄科技大學,"17,294"
國立高雄科技大學,394
國立高雄科技大學,739
國立高雄科技大學,"2,010"
國立高雄科技大學,"3,947"
國立高雄科技大學,112
國立臺灣戲曲學院,546
國立臺南護理專科學校,115
國立臺南護理專科學校,"1,801"
國立臺南護理專科學校,1
國立臺東專科學校,595
國立臺東專科學校,321
國立臺東專科學校,125
東海大學,250
東海大學,"1,224"
東海大學,"13,024"
東海大學,767
東海大學,445
輔仁大學,432
輔仁大學,"1,943"
輔仁大學,"17,584"
輔仁大學,"1,433"
輔仁大學,54
輔仁大學,"4,205"
東吳大學,118
東吳大學,"1,294"
東吳大學,"11,760"
東吳大學,"1,205"
東吳大學,997
中原大學,345
中原大學,"1,605"
中原大學,"13,560"
中原大學,895
淡江大學,394
淡江大學,"1,572"
淡江大學,"20,239"
淡江大學,755
淡江大學,"1,249"
中國文化大學,511
中國文化大學,"1,588"
中國文化大學,"20,402"
中國文化大學,634
中國文化大學,162
中國文化大學,"1,491"
逢甲大學,425
逢甲大學,"1,494"
逢甲大學,"17,208"
逢甲大學,"1,056"
逢甲大學,876
靜宜大學,47
靜宜大學,597
靜宜大學,"11,050"
靜宜大學,324
長庚大學,443
長庚大學,"1,088"
長庚大學,"5,099"
長庚大學,181
元智大學,267
元智大學,794
元智大學,"7,092"
元智大學,586
中華大學,72
中華大學,309
中華大學,"4,048"
中華大學,153
中華大學,193
中華大學,173
大葉大學,121
