Name,English Name,2023 Ranking,2022 Ranking
國立臺灣大學,National Taiwan University ,77,68
國立清華大學 ,National Tsing Hua University ,177,180
國立陽明交通大學,National Yang Ming Chiao Tung University,202,268
國立成功大學,National Cheng Kung University ,222,252
國立臺灣科技大學,National Taiwan University of Science and Technology,327,314
國立臺灣師範大學,National Taiwan Normal University,332,334
臺北醫學大學,Taipei Medical University,384,407
國立中山大學,National Sun Yat-sen University ,428,412
國立臺北科技大學,National Taipei University of Technology,436,469
長庚大學,Chang Gung University,475,480
