Name,Fund,Students,Fund/Students
世新大學,-134217728,11223,-11959.166711218035
中信金融管理學院,42991616,825,52111.0496969697
中原大學,1902116864,16405,115947.3857970131
中國文化大學,552599552,24788,22293.02694852348
中國醫藥大學,-1239416832,7203,-172069.531028738
中山醫學大學,85983232,6833,12583.525830528319
中華大學,465567744,4948,94092.10670978173
亞洲大學,-199229440,11421,-17444.132737938886
佛光大學,-1398800384,3458,-404511.3892423366
元智大學,-1768947712,8739,-202419.92356104817
南華大學,1807745024,5701,317092.6195404315
台灣首府大學,329252864,1130,291374.21592920355
國立中央大學,-1029701632,11938,-86254.11559725247
國立中山大學,1383071744,9706,142496.57366577376
國立中正大學,-1250951168,11128,-112414.73472322071
國立中興大學,-568328192,14974,-37954.33364498464
國立交通大學,1241513984,15182,81775.39085759452
國立嘉義大學,437256192,11689,37407.493540935924
國立宜蘭大學,-486539264,5476,-88849.39079620161
國立屏東大學,1231028224,9027,136371.7983826299
國立彰化師範大學,-1820327936,8453,-215346.96983319533
國立成功大學,-352321536,21773,-16181.579754742112
國立政治大學,53477376,16351,3270.587487003853
國立暨南國際大學,28311552,6016,4706.04255319149
國立東華大學,-475004928,10008,-47462.52278177458
國立清華大學,1241513984,16917,73388.543122303
國立聯合大學,197132288,7559,26079.149093795477
國立臺中教育大學,-2060451840,4902,-420328.81272949814
國立臺北大學,1053818880,10080,104545.52380952382
國立臺北教育大學,-81788928,5885,-13897.863721325404
國立臺北藝術大學,1663041536,3144,528957.2315521629
國立臺南大學,2067791872,5773,358183.2447600901
國立臺南藝術大學,-1475346432,1599,-922668.1876172607
國立臺東大學,-2047868928,4939,-414632.29965580074
國立臺灣大學,1375731712,32527,42295.06908107111
國立臺灣師範大學,1126170624,15920,70739.3608040201
國立臺灣海洋大學,948961280,8905,106564.99494665918
國立臺灣藝術大學,-1556086784,5545,-280628.8158701533
國立臺灣體育運動大學,1034944512,3122,331500.48430493276
國立金門大學,934281216,4131,226163.45098039217
國立陽明大學,1121976320,4534,247458.38553153948
國立體育大學,1304428544,2586,504419.3905645785
國立高雄大學,-1351614464,5741,-235431.8871276781
國立高雄師範大學,2090860544,6845,305458.0780131483
大同大學,-452984832,4012,-112907.48554336988
大葉大學,-817889280,7770,-105262.45559845559
實踐大學,1451229184,13216,109808.50363196126
康寧大學,-1880096768,3465,-542596.4698412699
慈濟大學,-319815680,3383,-94536.11587348508
明道大學,1950351360,2525,772416.3801980198
東吳大學,1216348160,15374,79117.22128268506
東海大學,375390208,15710,23894.984595798855
法鼓文理學院,1859125248,302,6156043.867549669
淡江大學,-1380974592,24209,-57043.85112974513
玄奘大學,-1143996416,2408,-475081.5681063123
真理大學,-2069889024,5255,-393889.44319695525
稻江科技暨管理學院,715128832,276,2591046.492753623
義守大學,1046478848,14351,72920.27370914919
臺北市立大學,1971322880,7986,246847.34284998747
臺北醫學大學,1665138688,5993,277847.26981478394
華梵大學,695205888,1165,596743.2515021459
輔仁大學,-333447168,25651,-12999.382792093875
逢甲大學,-1304428544,21059,-61941.61850040363
銘傳大學,612368384,18614,32898.269259697
長庚大學,387973120,6811,56962.72500367053
長榮大學,1884291072,8248,228454.30067895248
開南大學,32505856,5587,5818.123500984429
靜宜大學,-1107296256,12018,-92136.48327508738
馬偕醫學院,1126170624,816,1380111.0588235294
高雄醫學大學,-1069547520,6490,-164799.30970724192
